# Every library live on Libby. Tab separated: key, name, region, kind, places.
# Written by tools/seed_libraries.py, loaded into the database at startup.
bcpl	British Columbia Libraries	Canada	public	alert bay cooperative beaver valley bowen island burns lake cariboo castlegar chetwynd cranbrook creston dawson creek elkford fernie nelson james john fraser galiano gibsons grand forks granisle greenwood hazelton houston hudsons hope invermere kaslo kimberley kitimat lillooet mackenzie mayne mcbride midway nakusp new westminster vancouver pemberton pender penticton piers port moody pouce coupe powell river prince george rupert radium hot springs rossland salmo salt spring saturna sechelt smithers sparwood squamish stewart taylor terrace thompson nicola trail tumbler ridge valemount vanderhoof whistler
bcplinfo	Baltimore County Public Library		public	arbutus catonsville cockeysville essex hereford landsdowne loch raven point owings mills parkville carney perry hall pikesville randallstown reisterstown rosedale sollers towson white marsh woodlawn
bcsdmc	Bryan and College Station Public Library System		public	carnegie brazos valley history clara mounce larry ringer
beehive	Beehive Library Consortium	USA	public	american fork beaver box elder brigham cedar davis delta duchesne eagle mountain elsinore emery ephraim fairview garden garland grand grantsville gunnison civic helper highland hyrum iron kanab lehi lewiston logan manti mendon milford minersville monroe morgan pleasant multicounty nephi newton nsd nebo orem panguitch park parowan payson grove president millard fillmore price provo rich richfield richmond salem salina san juan santaquin saratoga springs smithfield spanish springville stansbury summit tooele tremonton tri uintah utah state division valley academy vineyard wasatch washington weber
belbib	Belfast School of Theology		college
bellevuelibrary	Bellevue Baptist Church Library		company
bennington	Bennington College		college
bentleydownload	Bentley University	USA	college
bergencc	Bergen Community College	USA	college
berkeleypubliclibrary	Berkeley Public Library		public	claremont
bexley	London Borough of Bexley	United Kingdom	public	crayford erith sidcup thamesmead welling
bgst	Biblical Graduate School of Theology	Singapore	college
bhp	BHP		company
bhpl	Beverly Hills Public Library		public
bhsconstruction	BHS Construction Inc		company
biberach	Stadtbücherei Biberach	Germany	public
bibliobrossard	Bibliotheque de Brossard	Canada	public
bibliomation	Bibliomation, Inc.	CT, USA	public	andover ansonia babcock bakerville beacon falls beardsley bentley bethel bethlehem bolton booth dimock brookfield brooklyn association burnham canterbury chaplin chester cyrenius david hunt deep river derby neck douglas hebron eastford easton ellington hall gunn washington hagaman haven hotchkiss sharon howard bracken whittemore janet carlson calvert jonathan trumbull kent killingly killingworth licia mason beekley milford minor roxbury monroe edith wheeler morris norfolk oliver wolcott oxford pomfret putnam redding mark twain ridgefield rockville rowayton salem scoville salisbury seymour shelton plumb sherman silas bronson slater somers southbury sprague stafford suffield terryville cornwall thomaston thompson tolland union voluntown warren weston willimantic willington windham woodbury
bibliomontmagny	Bibliotheque de Montmagny		public
bibliomontreal	Bibliothèques Montréal	Canada	public
biblioquebec	Consortium BIBLIO (Magazines)	Canada	public	notre dame des bois albertville alleyn cawood amherst bibliotheque remi vendee armagh arundel ascot corner aston jonction auclair aumond ayers cliff baie sables febvre catherine paul batiscan beauceville beaulac garthby beaumont beaupre berthier sur mer berthierville biencourt blue sea franc bombardier bonsecours bouchette brebeuf gregoire coupal bristol brompton brownsburg chatham bury c002 cao c003 antic c004 lpmin c005 natas c006 rivto c007 berge c008 hstp c009 aguan c011 tbale c012 pao c013 fran c015 fore c016 bjb c017 lbs c018 rstj c019 esco c020 ragu c021 godb c022 porn c023 btri c024 chev c026 pleb c027 rstp c029 scoeu c030 tadou c031 gmec c034 staug c037 ofort c038 colom c039 lrive c301 pakua c303 essipit cabano cacouna cap ignace sante causapscal formation aux adultes mont joli cfamm rimouski neigette cfrn champlain charette armance samson chartierville chateau richer cheneville lac simon chertsey chesterville chute philippe clermont coaticook compton cookshire secteur johnville
bibliotecaccb	Camara de Comercio de Bogota  - Bogota Chamber of Commerce		public
bibliotecacolsubsidio	Colsubsidio		public
bibliotecacomfandi	Comfandi	Colombia	public
bibliotecadigitalcompensar	Compensar		public
bibliotecadigitalnl	Estado de Nuevo Leon		public	biblioteca del
bibliotecadigitaludem	Universidad de Medellin	Colombia	college
bibliotecaean	Universidad EAN	Colombia	college
bibliotecaespol	Escuela Superior Politecnica Del Litoral		college
bibliotecafundadores	Universidad CES	Colombia	college	biblioteca fundadores
bibliotecasanpedro	San Pedro Garza Garcia	Mexico	public
bibliotecascomfamiliar	Comfamiliar Risaralda		public
bibliotecascomfenalcoantioquia	Red de Bibliotecas de CCF Comfenalco Antioquia		public
bibliotecasinacap	Instituto Profesional INACAP	Chile	college
bibliotecasunal	Universidad Nacional de Colombia	Colombia	college
bibliotecatec	Instituto Tecnologico y De estudios Superiores De Monterrey	Mexico	college
bibliotecauao	Universidad Autónoma de Occidente	Colombia	college	biblioteca uao
bibliotecaudem	Universidad de Monterrey	Mexico	college
bibliotecausbcali	Universidad de San Buenaventura Cali		college
biblioteeca	El Economista	Mexico	company
